company,rank,revenues,profits,employees,sector,city,state,ceo_founder,ceo_woman,profitable,market_cap,website,ticker,assets,revenue_usd_millions,profit_usd_millions,market_cap_usd_millions,assets_usd_millions,documented_adoption_edges,documented_investment_edges,documented_ai_company
Weyerhaeuser,476,$7674MM,$839MM,9318,Materials,Seattle,Washington,no,no,yes,$26200.5MM,https://www.weyerhaeuser.com,WY,$16983MM,7674.0,839.0,26200.5,16983.0,0,0,0
Genworth Financial,477,$7488MM,$76MM,2700,Financials,Richmond,Virginia,no,no,yes,$2825.7MM,https://www.genworth.com,GNW,$90817MM,7488.0,76.0,2825.7,90817.0,0,0,0
CMS Energy,478,$7462MM,$887MM,8356,Energy,Jackson,Michigan,no,no,yes,$18018.6MM,https://www.cmsenergy.com,CMS,$33517MM,7462.0,887.0,18018.6,33517.0,0,0,0
Science Applications International,479,$7444MM,$477MM,24000,Technology,Reston,Virginia,no,yes,yes,$6734.4MM,https://www.saic.com,SAIC,$5314MM,7444.0,477.0,6734.4,5314.0,0,0,0
Jefferies Financial Group,480,$7441.4MM,$277.7MM,7564,Financials,New York,New York,no,no,yes,$9347.9MM,https://www.jefferies.com,JEF,$57905.2MM,7441.4,277.7,9347.9,57905.2,0,0,0
Bath & Body Works,481,$7429MM,$878MM,33069,Retailing,Columbus,Ohio,no,yes,yes,$11249.3MM,https://www.bbwinc.com,BBWI,$5463MM,7429.0,878.0,11249.3,5463.0,0,0,0
Electronic Arts,482,$7426MM,$802MM,13400,Media,Redwood City,California,no,no,yes,$35469.4MM,https://www.ea.com,EA,$13459MM,7426.0,802.0,35469.4,13459.0,0,0,0
Taylor Morrison Home,483,$7417.8MM,$768.9MM,2800,Engineering & Construction,Scottsdale,Arizona,no,yes,yes,$6616.7MM,https://www.taylormorrison.com,TMHC,$8672.1MM,7417.8,768.9,6616.7,8672.1,0,0,0
Zimmer Biomet Holdings,484,$7394.2MM,$1024MM,18000,Health Care,Warsaw,Indiana,no,no,yes,$27116.8MM,https://www.zimmerbiomet.com,ZBH,$21496.9MM,7394.2,1024.0,27116.8,21496.9,0,0,0
Clorox,485,$7389MM,$149MM,8700,Household Products,Oakland,California,no,yes,yes,$19001.9MM,https://www.thecloroxcompany.com,CLX,$5945MM,7389.0,149.0,19001.9,5945.0,0,0,0
Xylem,486,$7364MM,$609MM,23000,Industrials,Washington,District Of Columbia,no,no,yes,$31246.4MM,https://www.xylem.com,XYL,$16112MM,7364.0,609.0,31246.4,16112.0,0,0,0
Voya Financial,487,$7348MM,$625MM,9000,Financials,New York,New York,no,yes,yes,$7510.9MM,https://www.voya.com,VOYA,$157085MM,7348.0,625.0,7510.9,157085.0,0,0,0
