company,rank,revenues,profits,employees,sector,city,state,ceo_founder,ceo_woman,profitable,market_cap,website,ticker,assets,revenue_usd_millions,profit_usd_millions,market_cap_usd_millions,assets_usd_millions,documented_adoption_edges,documented_investment_edges,documented_ai_company
Allstate,73,$57094MM,$-188MM,53200,Financials,Northbrook,Illinois,no,no,no,$45513.3MM,https://www.allstate.com,ALL,$103362MM,57094.0,-188.0,45513.3,103362.0,0,0,0
Cisco,74,$56998MM,$12613MM,84900,Technology,San Jose,California,no,no,yes,$202094.9MM,https://www.cisco.com,CSCO,$101852MM,56998.0,12613.0,202094.9,101852.0,1,0,1
Nationwide,75,$54609.4MM,$-45.2MM,24118,Financials,Columbus,Ohio,no,no,no,$NAMM,https://www.nationwide.com,,$290615MM,54609.4,-45.2,,290615.0,0,0,0
Charter Communications,76,$54607MM,$4557MM,101100,Telecommunications,Stamford,Connecticut,no,no,yes,$51316MM,https://www.charter.com,CHTR,$147193MM,54607.0,4557.0,51316.0,147193.0,0,0,0
AbbVie,77,$54318MM,$4863MM,50000,Health Care,North Chicago,Illinois,no,no,yes,$322434.8MM,https://www.abbvie.com,ABBV,$134711MM,54318.0,4863.0,322434.8,134711.0,0,0,0
New York Life Insurance,78,$54317.2MM,$804.6MM,15384,Financials,New York,New York,no,no,yes,$NAMM,https://www.newyorklife.com,,$408904.9MM,54317.2,804.6,,408904.9,0,0,0
Intel,79,$54228MM,$1689MM,124800,Technology,Santa Clara,California,no,no,yes,$188026MM,https://www.intel.com,INTC,$191572MM,54228.0,1689.0,188026.0,191572.0,0,0,0
TJX,80,$54217MM,$4474MM,349000,Retailing,Framingham,Massachusetts,no,no,yes,$115586MM,https://www.tjx.com,TJX,$29747MM,54217.0,4474.0,115586.0,29747.0,0,0,0
Prudential Financial,81,$53979MM,$2488MM,40366,Financials,Newark,New Jersey,no,no,yes,$42191.2MM,https://www.prudential.com,PRU,$721123MM,53979.0,2488.0,42191.2,721123.0,0,0,0
HP,82,$53718MM,$3263MM,58000,Technology,Palo Alto,California,no,no,yes,$29569.7MM,https://www.hp.com,HPQ,$37004MM,53718.0,3263.0,29569.7,37004.0,0,0,0
United Airlines Holdings,83,$53717MM,$2618MM,103300,Transportation,Chicago,Illinois,no,no,yes,$15705.9MM,https://www.united.com,UAL,$71104MM,53717.0,2618.0,15705.9,71104.0,0,0,0
Performance Food Group,84,$53354.7MM,$397.2MM,34825,Wholesalers,Richmond,Virginia,no,no,yes,$11612.9MM,https://www.pfgc.com,PFGC,$12499MM,53354.7,397.2,11612.9,12499.0,0,0,0
Tyson Foods,85,$52881MM,$-648MM,139000,"Food, Beverages & Tobacco",Springdale,Arkansas,no,no,no,$20928.3MM,https://www.tysonfoods.com,TSN,$36251MM,52881.0,-648.0,20928.3,36251.0,0,0,0
American Airlines Group,86,$52788MM,$822MM,132100,Transportation,Fort Worth,Texas,no,no,yes,$10050.5MM,https://www.aa.com,AAL,$63058MM,52788.0,822.0,10050.5,63058.0,0,0,0
Liberty Mutual Insurance Group,87,$52612MM,$213MM,45000,Financials,Boston,Massachusetts,no,no,yes,$NAMM,https://www.libertymutual.com,,$165208MM,52612.0,213.0,,165208.0,0,0,0
Nike,88,$51217MM,$5070MM,83700,Apparel,Beaverton,Oregon,no,no,yes,$142391.2MM,https://investors.nike.com,NKE,$37531MM,51217.0,5070.0,142391.2,37531.0,0,0,0
Oracle,89,$49954MM,$8503MM,164000,Technology,Austin,Texas,no,yes,yes,$345240.8MM,https://www.oracle.com,ORCL,$134384MM,49954.0,8503.0,345240.8,134384.0,0,0,0
Enterprise Products Partners,90,$49715MM,$5532MM,7500,Energy,Houston,Texas,no,no,yes,$63269.4MM,https://www.enterpriseproducts.com,EPD,$70982MM,49715.0,5532.0,63269.4,70982.0,0,0,0
Capital One Financial,91,$49484MM,$4887MM,51987,Financials,McLean,Virginia,yes,no,yes,$56891.2MM,https://www.capitalone.com,COF,$478464MM,49484.0,4887.0,56891.2,478464.0,0,0,0
Plains GP Holdings,92,$48712MM,$198MM,4200,Energy,Houston,Texas,no,no,yes,$3597.5MM,https://www.plains.com,PAGP,$28597MM,48712.0,198.0,3597.5,28597.0,0,0,0
World Kinect,93,$47710.6MM,$52.9MM,5289,Energy,Miami,Florida,no,no,yes,$1583MM,https://www.world-kinect.com,WKC,$7375.3MM,47710.6,52.9,1583.0,7375.3,0,0,0
AIG,94,$46802MM,$3643MM,25200,Financials,New York,New York,no,no,yes,$53230.1MM,https://www.aig.com,AIG,$539306MM,46802.0,3643.0,53230.1,539306.0,0,0,0
Coca-Cola,95,$45754MM,$10714MM,79100,"Food, Beverages & Tobacco",Atlanta,Georgia,no,no,yes,$263758.6MM,https://www.coca-colacompany.com,KO,$97703MM,45754.0,10714.0,263758.6,97703.0,0,0,0
TIAA,96,$45734.8MM,$-1408.9MM,16023,Financials,New York,New York,no,yes,no,$NAMM,https://www.tiaa.org,,$629369.9MM,45734.8,-1408.9,,629369.9,0,0,0
CHS,97,$45590MM,$1900.4MM,10609,"Food, Beverages & Tobacco",Inver Grove Heights,Minnesota,no,no,yes,$NAMM,https://www.chsinc.com,,$18957.4MM,45590.0,1900.4,,18957.4,0,0,0
Bristol-Myers Squibb,98,$45006MM,$8025MM,34100,Health Care,Princeton,New Jersey,no,no,yes,$109911.1MM,https://www.bms.com,BMY,$95159MM,45006.0,8025.0,109911.1,95159.0,1,0,1
Dow,99,$44622MM,$589MM,35900,Chemicals,Midland,Michigan,no,no,yes,$40740.3MM,https://www.dow.com,DOW,$57967MM,44622.0,589.0,40740.3,57967.0,0,0,0
Best Buy,100,$43452MM,$1241MM,85000,Retailing,Richfield,Minnesota,no,yes,yes,$17667.7MM,https://www.investors.bestbuy.com,BBY,$14967MM,43452.0,1241.0,17667.7,14967.0,1,0,1
Thermo Fisher Scientific,101,$42857MM,$5995MM,122000,Technology,Waltham,Massachusetts,no,no,yes,$221622.5MM,https://www.thermofisher.com,TMO,$98726MM,42857.0,5995.0,221622.5,98726.0,1,0,1
Massachusetts Mutual Life Insurance,102,$42641.4MM,$-771.6MM,11323,Financials,Springfield,Massachusetts,no,no,no,$NAMM,https://www.massmutual.com,,$397895MM,42641.4,-771.6,,397895.0,0,0,0
USAA,103,$42493.4MM,$1213.5MM,37376,Financials,San Antonio,Texas,no,no,yes,$NAMM,https://www.usaa.com,,$211637.6MM,42493.4,1213.5,,211637.6,0,0,0
General Dynamics,104,$42272MM,$3315MM,111600,Aerospace & Defense,Reston,Virginia,no,yes,yes,$77506.3MM,https://www.gd.com,GD,$54810MM,42272.0,3315.0,77506.3,54810.0,0,0,0
Travelers,105,$41364MM,$2991MM,33133,Financials,New York,New York,no,no,yes,$52731MM,https://www.travelers.com,TRV,$125978MM,41364.0,2991.0,52731.0,125978.0,0,0,0
Warner Bros. Discovery,106,$41321MM,$-3126MM,35300,Media,New York,New York,no,no,no,$21298.5MM,https://wbd.com,WBD,$122757MM,41321.0,-3126.0,21298.5,122757.0,0,0,0
U.S. Bancorp,107,$40624MM,$5429MM,75465,Financials,Minneapolis,Minnesota,no,no,yes,$69656.5MM,https://www.usbank.com,USB,$663491MM,40624.0,5429.0,69656.5,663491.0,0,0,0
Abbott Laboratories,108,$40109MM,$5723MM,114000,Health Care,Abbott Park,Illinois,no,no,yes,$197221MM,https://www.abbott.com,ABT,$73214MM,40109.0,5723.0,197221.0,73214.0,0,0,0
Northrop Grumman,109,$39290MM,$2056MM,101000,Aerospace & Defense,Falls Church,Virginia,no,yes,yes,$70908.8MM,https://www.northropgrumman.com,NOC,$46544MM,39290.0,2056.0,70908.8,46544.0,0,0,0
Northwestern Mutual,110,$38788.1MM,$711.4MM,8239,Financials,Milwaukee,Wisconsin,no,no,yes,$NAMM,https://www.northwesternmutual.com,,$358828.6MM,38788.1,711.4,,358828.6,0,0,0
Dollar General,111,$38691.6MM,$1661.3MM,185800,Retailing,Goodlettsville,Tennessee,no,no,yes,$34281.9MM,https://www.dollargeneral.com,DG,$30795.6MM,38691.6,1661.3,34281.9,30795.6,0,0,0
PBF Energy,112,$38324.8MM,$2140.5MM,3776,Energy,Parsippany,New Jersey,no,no,yes,$6860.3MM,https://www.pbfenergy.com,PBF,$14387.8MM,38324.8,2140.5,6860.3,14387.8,0,0,0
Uber Technologies,113,$37281MM,$1887MM,30400,Technology,San Francisco,California,no,no,yes,$160258.1MM,https://www.uber.com,UBER,$38699MM,37281.0,1887.0,160258.1,38699.0,0,0,0
Honeywell International,114,$36662MM,$5658MM,95000,Industrials,Charlotte,North Carolina,no,no,yes,$133860.3MM,https://www.honeywell.com,HON,$61525MM,36662.0,5658.0,133860.3,61525.0,0,0,0
Mondelez International,115,$36016MM,$4959MM,91000,"Food, Beverages & Tobacco",Chicago,Illinois,no,no,yes,$94253.4MM,https://www.mondelezinternational.com,MDLZ,$71391MM,36016.0,4959.0,94253.4,71391.0,0,0,0
Starbucks,116,$35975.6MM,$4124.5MM,381000,"Hotels, Restaurants & Leisure",Seattle,Washington,no,no,yes,$103471.8MM,https://www.starbucks.com,SBUX,$29445.5MM,35975.6,4124.5,103471.8,29445.5,0,0,0
Qualcomm,117,$35820MM,$7232MM,50000,Technology,San Diego,California,no,no,yes,$188938.8MM,https://www.qualcomm.com,QCOM,$51040MM,35820.0,7232.0,188938.8,51040.0,0,0,0
Broadcom,118,$35819MM,$14082MM,20000,Technology,Palo Alto,California,no,no,yes,$614223.1MM,https://www.broadcom.com,AVGO,$72861MM,35819.0,14082.0,614223.1,72861.0,0,0,0
US Foods Holding,119,$35597MM,$506MM,30000,Wholesalers,Rosemont,Illinois,no,no,yes,$13217.4MM,https://www.usfoods.com,USFD,$13187MM,35597.0,506.0,13217.4,13187.0,0,0,0
D.R. Horton,120,$35460.4MM,$4745.7MM,13450,Engineering & Construction,Arlington,Texas,no,no,yes,$54600.5MM,https://www.drhorton.com,DHI,$32582.4MM,35460.4,4745.7,54600.5,32582.4,0,0,0
Philip Morris International,121,$35174MM,$7813MM,82700,"Food, Beverages & Tobacco",Stamford,Connecticut,no,no,yes,$142428MM,https://www.pmi.com,PM,$65304MM,35174.0,7813.0,142428.0,65304.0,0,0,0
Paccar,122,$35127.4MM,$4600.8MM,32400,Motor Vehicles & Parts,Bellevue,Washington,no,no,yes,$64919.7MM,https://www.paccar.com,PCAR,$40823.4MM,35127.4,4600.8,64919.7,40823.4,0,0,0
Salesforce,123,$34857MM,$4136MM,72682,Technology,San Francisco,California,yes,no,yes,$292144.6MM,https://www.salesforce.com,CRM,$99823MM,34857.0,4136.0,292144.6,99823.0,1,6,1
Nucor,124,$34713.5MM,$4524.8MM,32000,Materials,Charlotte,North Carolina,no,no,yes,$47492MM,https://www.nucor.com,NUE,$35340.5MM,34713.5,4524.8,47492.0,35340.5,0,0,0
Jabil,125,$34702MM,$818MM,236000,Technology,St. Petersburg,Florida,no,no,yes,$17084.7MM,https://www.jabil.com,JBL,$19424MM,34702.0,818.0,17084.7,19424.0,0,0,0
Lennar,126,$34233.4MM,$3938.5MM,12284,Engineering & Construction,Miami,Florida,no,no,yes,$47374.8MM,https://www.lennar.com,LEN,$39234.3MM,34233.4,3938.5,47374.8,39234.3,0,0,0
Eli Lilly,127,$34124.1MM,$5240.4MM,43000,Health Care,Indianapolis,Indiana,no,no,yes,$739658MM,https://www.lilly.com,LLY,$64006.3MM,34124.1,5240.4,739658.0,64006.3,0,0,0
Molina Healthcare,128,$34072MM,$1091MM,18000,Health Care,Long Beach,California,no,no,yes,$24068MM,https://www.molinahealthcare.com,MOH,$14892MM,34072.0,1091.0,24068.0,14892.0,0,0,0
Cummins,129,$34065MM,$735MM,75500,Industrials,Columbus,Indiana,no,yes,yes,$41798.1MM,https://www.cummins.com,CMI,$32005MM,34065.0,735.0,41798.1,32005.0,0,0,0
Bank of New York Mellon,130,$33805MM,$3286MM,53400,Financials,New York,New York,no,no,yes,$43380.4MM,https://www.bnymellon.com,BK,$409953MM,33805.0,3286.0,43380.4,409953.0,1,0,1
Netflix,131,$33723.3MM,$5408MM,13000,Media,Los Gatos,California,no,no,yes,$262827.9MM,https://www.netflix.com,NFLX,$48732MM,33723.3,5408.0,262827.9,48732.0,0,0,0
Truist Financial,132,$33246MM,$-1091MM,49935,Financials,Charlotte,North Carolina,no,no,no,$52022.4MM,https://www.truist.com,TFC,$535349MM,33246.0,-1091.0,52022.4,535349.0,0,0,0
Arrow Electronics,133,$33107.1MM,$903.5MM,22100,Wholesalers,Centennial,Colorado,no,no,yes,$6988.1MM,https://www.arrow.com,ARW,$21726.2MM,33107.1,903.5,6988.1,21726.2,0,0,0
3M,134,$32681MM,$-6995MM,85000,Chemicals,St. Paul,Minnesota,no,no,no,$58695MM,https://www.3m.com,MMM,$50580MM,32681.0,-6995.0,58695.0,50580.0,0,0,0
Visa,135,$32653MM,$17273MM,28800,Business Services,San Francisco,California,no,no,yes,$560847.5MM,https://www.visa.com,V,$90499MM,32653.0,17273.0,560847.5,90499.0,0,0,0
Apollo Global Management,136,$32644MM,$5047MM,6855,Financials,New York,New York,yes,no,yes,$63889.7MM,https://www.apollo.com,APO,$313488MM,32644.0,5047.0,63889.7,313488.0,0,0,0
HF Sinclair,137,$31964.4MM,$1589.7MM,5218,Energy,Dallas,Texas,no,no,yes,$11987.6MM,https://www.hfsinclair.com,DINO,$17716.3MM,31964.4,1589.7,11987.6,17716.3,0,0,0
CBRE Group,138,$31949MM,$986MM,130000,Financials,Dallas,Texas,no,no,yes,$29725.9MM,https://www.cbre.com,CBRE,$22548MM,31949.0,986.0,29725.9,22548.0,0,0,0
PNC Financial Services Group,139,$31882MM,$5578MM,55612,Financials,Pittsburgh,Pennsylvania,no,no,yes,$64291.8MM,https://www.pnc.com,PNC,$561580MM,31882.0,5578.0,64291.8,561580.0,0,0,0
Lithia Motors,140,$31310.9MM,$1000.8MM,25051,Retailing,Medford,Oregon,no,no,yes,$8283MM,https://investors.lithiadriveway.com,LAD,$19632.5MM,31310.9,1000.8,8283.0,19632.5,0,0,0
CarMax,141,$31126.4MM,$484.8MM,30621,Retailing,Richmond,Virginia,no,no,yes,$13756.5MM,https://www.carmax.com,KMX,$26182.7MM,31126.4,484.8,13756.5,26182.7,0,0,0
Paramount Global,142,$30610MM,$-608MM,24150,Media,New York,New York,no,no,no,$8099MM,https://www.paramount.com,PARA,$53543MM,30610.0,-608.0,8099.0,53543.0,0,0,0
Dollar Tree,143,$30603.8MM,$-998.4MM,138860,Retailing,Chesapeake,Virginia,no,no,no,$29024.4MM,https://www.dollartree.com,DLTR,$22023.5MM,30603.8,-998.4,29024.4,22023.5,0,0,0
United Natural Foods,144,$30272MM,$24MM,29455,Wholesalers,Providence,Rhode Island,no,no,yes,$682.9MM,https://www.unfi.com,UNFI,$7394MM,30272.0,24.0,682.9,7394.0,0,0,0
PayPal Holdings,145,$29771MM,$4246MM,27200,Business Services,San Jose,California,no,no,yes,$71796MM,https://www.paypal.com,PYPL,$82166MM,29771.0,4246.0,71796.0,82166.0,1,0,1
Penske Automotive Group,146,$29527.4MM,$1053.2MM,28000,Retailing,Bloomfield Hills,Michigan,no,no,yes,$10861MM,https://www.penskeautomotive.com,PAG,$15671.5MM,29527.4,1053.2,10861.0,15671.5,0,0,0
Hewlett Packard Enterprise,147,$29135MM,$2025MM,62000,Technology,Spring,Texas,no,no,yes,$23049MM,https://www.hpe.com,HPE,$57153MM,29135.0,2025.0,23049.0,57153.0,0,0,0
Duke Energy,148,$28932MM,$2841MM,27037,Energy,Charlotte,North Carolina,no,yes,yes,$74607.9MM,https://www.duke-energy.com,DUK,$176893MM,28932.0,2841.0,74607.9,176893.0,0,0,0
Occidental Petroleum,149,$28918MM,$4696MM,12570,Energy,Houston,Texas,no,yes,yes,$57611.3MM,https://www.oxy.com,OXY,$74008MM,28918.0,4696.0,57611.3,74008.0,0,0,0
NRG Energy,150,$28823MM,$-202MM,18131,Energy,Houston,Texas,no,no,no,$14535.4MM,https://www.nrg.com,NRG,$26038MM,28823.0,-202.0,14535.4,26038.0,0,0,0
Amgen,151,$28190MM,$6717MM,26700,Health Care,Thousand Oaks,California,no,no,yes,$152372.5MM,https://www.amgen.com,AMGN,$97154MM,28190.0,6717.0,152372.5,97154.0,1,0,1
NextEra Energy,152,$28114MM,$7310MM,16800,Energy,Juno Beach,Florida,no,no,yes,$131170.7MM,https://www.nexteraenergy.com,NEE,$177489MM,28114.0,7310.0,131170.7,177489.0,0,0,0
Danaher,153,$27602MM,$4764MM,62000,Health Care,Washington,District Of Columbia,no,no,yes,$184928.7MM,https://www.danaher.com,DHR,$84488MM,27602.0,4764.0,184928.7,84488.0,0,0,0
Gilead Sciences,154,$27116MM,$5665MM,18000,Health Care,Foster City,California,no,no,yes,$91340.5MM,https://www.gilead.com,GILD,$62125MM,27116.0,5665.0,91340.5,62125.0,0,0,0
AutoNation,155,$26948.9MM,$1021.1MM,25300,Retailing,Fort Lauderdale,Florida,no,no,yes,$6902.1MM,https://www.autonation.com,AN,$11980MM,26948.9,1021.1,6902.1,11980.0,0,0,0
Kraft Heinz,156,$26640MM,$2855MM,36000,"Food, Beverages & Tobacco",Chicago,Illinois,no,no,yes,$44857MM,https://www.kraftheinzcompany.com,KHC,$90339MM,26640.0,2855.0,44857.0,90339.0,0,0,0
Avnet,157,$26536.9MM,$770.8MM,15800,Wholesalers,Phoenix,Arizona,no,no,yes,$4480.2MM,https://www.avnet.com,AVT,$12477.2MM,26536.9,770.8,4480.2,12477.2,0,0,0
Applied Materials,158,$26517MM,$6856MM,34000,Technology,Santa Clara,California,no,no,yes,$171356MM,https://www.appliedmaterials.com,AMAT,$30729MM,26517.0,6856.0,171356.0,30729.0,0,0,0
Southwest Airlines,159,$26091MM,$465MM,74806,Transportation,Dallas,Texas,no,no,yes,$17416.6MM,https://www.southwest.com,LUV,$36487MM,26091.0,465.0,17416.6,36487.0,0,0,0
Charles Schwab,160,$25521MM,$5067MM,33000,Financials,Westlake,Texas,no,no,yes,$131974.9MM,https://www.aboutschwab.com,SCHW,$493178MM,25521.0,5067.0,131974.9,493178.0,0,0,0
Baker Hughes,161,$25506MM,$1943MM,58000,Energy,Houston,Texas,no,no,yes,$33529.5MM,https://www.bakerhughes.com,BKR,$36945MM,25506.0,1943.0,33529.5,36945.0,0,0,0
McDonald's,162,$25493.7MM,$8468.8MM,150000,"Hotels, Restaurants & Leisure",Chicago,Illinois,no,no,yes,$203582.4MM,https://www.investor.mcdonalds.com,MCD,$56146.8MM,25493.7,8468.8,203582.4,56146.8,0,0,0
Southern Company,163,$25253MM,$3976MM,27960,Energy,Atlanta,Georgia,no,no,yes,$78269.4MM,https://www.southerncompany.com,SO,$139331MM,25253.0,3976.0,78269.4,139331.0,0,0,0
Mastercard,164,$25098MM,$11195MM,33400,Business Services,Purchase,New York,no,no,yes,$449252.6MM,https://www.mastercard.com,MA,$42448MM,25098.0,11195.0,449252.6,42448.0,0,0,0
Constellation Energy,165,$24918MM,$1623MM,13842,Energy,Baltimore,Maryland,no,no,yes,$58250.1MM,https://www.constellationenergy.com,CEG,$50758MM,24918.0,1623.0,58250.1,50758.0,0,0,0
Hartford Financial Services Group,166,$24527MM,$2504MM,18700,Financials,Hartford,Connecticut,no,no,yes,$30636.6MM,https://www.thehartford.com,HIG,$76780MM,24527.0,2504.0,30636.6,76780.0,0,0,0
PG&E,167,$24428MM,$2242MM,28010,Energy,Oakland,California,no,yes,yes,$35759.5MM,https://www.pgecorp.com,PCG,$125698MM,24428.0,2242.0,35759.5,125698.0,0,0,0
Coupang,168,$24383MM,$1360MM,78000,Retailing,Seattle,Washington,yes,no,yes,$31903.1MM,https://www.aboutcoupang.com,CPNG,$13346MM,24383.0,1360.0,31903.1,13346.0,0,0,0
EOG Resources,169,$24186MM,$7594MM,3050,Energy,Houston,Texas,no,no,yes,$73535.6MM,https://www.eogresources.com,EOG,$43857MM,24186.0,7594.0,73535.6,43857.0,0,0,0
Union Pacific,170,$24119MM,$6379MM,32973,Transportation,Omaha,Nebraska,no,no,yes,$150041MM,https://www.up.com,UNP,$67132MM,24119.0,6379.0,150041.0,67132.0,0,0,0
Rite Aid,171,$24091.9MM,$-749.9MM,47000,Food & Drug Stores,Philadelphia,Pennsylvania,no,no,no,$9MM,https://www.riteaid.com,RADCQ,$7527.4MM,24091.9,-749.9,9.0,7527.4,0,0,0
Macy's,172,$23866MM,$105MM,85581,Retailing,New York,New York,no,no,yes,$5482.7MM,https://www.macysinc.com,M,$16246MM,23866.0,105.0,5482.7,16246.0,0,0,0
Marriott International,173,$23713MM,$3083MM,148000,"Hotels, Restaurants & Leisure",Bethesda,Maryland,no,no,yes,$72730.7MM,https://www.marriott.com,MAR,$25674MM,23713.0,3083.0,72730.7,25674.0,0,0,0
Lear,174,$23466.9MM,$572.5MM,186600,Motor Vehicles & Parts,Southfield,Michigan,no,no,yes,$8263.1MM,https://www.lear.com,LEA,$14695.5MM,23466.9,572.5,8263.1,14695.5,0,0,0
Genuine Parts,175,$23090.6MM,$1316.5MM,60000,Wholesalers,Atlanta,Georgia,no,no,yes,$21600.9MM,https://www.genpt.com,GPC,$17968.5MM,23090.6,1316.5,21600.9,17968.5,0,0,0
Sherwin-Williams,176,$23051.9MM,$2388.8MM,64088,Chemicals,Cleveland,Ohio,no,yes,yes,$88255.4MM,https://www.sherwin.com,SHW,$22954.4MM,23051.9,2388.8,88255.4,22954.4,0,0,0
Halliburton,177,$23018MM,$2638MM,48000,Energy,Houston,Texas,no,no,yes,$35087.8MM,https://www.halliburton.com,HAL,$24683MM,23018.0,2638.0,35087.8,24683.0,0,0,0
Freeport-McMoRan,178,$22855MM,$1848MM,27200,Energy,Phoenix,Arizona,no,yes,yes,$67445.9MM,https://www.fcx.com,FCX,$52506MM,22855.0,1848.0,67445.9,52506.0,0,0,0
Live Nation Entertainment,179,$22749.1MM,$563.3MM,23200,Media,Beverly Hills,California,no,no,yes,$24411.5MM,https://www.livenationentertainment.com,LYV,$19074MM,22749.1,563.3,24411.5,19074.0,0,0,0
Marsh & McLennan,180,$22736MM,$3756MM,85000,Financials,New York,New York,no,no,yes,$101657.8MM,https://www.marshmclennan.com,MMC,$48030MM,22736.0,3756.0,101657.8,48030.0,0,0,0
Advanced Micro Devices,181,$22680MM,$854MM,26000,Technology,Santa Clara,California,no,yes,yes,$291697.1MM,https://www.amd.com,AMD,$67885MM,22680.0,854.0,291697.1,67885.0,0,0,0
First Citizens BancShares,182,$22466MM,$11466MM,15868,Financials,Raleigh,North Carolina,no,no,yes,$23620.4MM,https://www.firstcitizens.com,FCNCA,$213758MM,22466.0,11466.0,23620.4,213758.0,0,0,0
WESCO International,183,$22385.2MM,$765.5MM,20000,Wholesalers,Pittsburgh,Pennsylvania,no,no,yes,$8727.3MM,https://www.wesco.com,WCC,$15060.9MM,22385.2,765.5,8727.3,15060.9,0,0,0
Carrier Global,184,$22098MM,$1349MM,53000,Industrials,Palm Beach Gardens,Florida,no,no,yes,$52323MM,https://www.corporate.carrier.com,CARR,$32822MM,22098.0,1349.0,52323.0,32822.0,0,0,0
Cleveland-Cliffs,185,$21996MM,$399MM,28000,Materials,Cleveland,Ohio,no,no,yes,$11331.1MM,https://www.clevelandcliffs.com,CLF,$17537MM,21996.0,399.0,11331.1,17537.0,0,0,0
Block,186,$21915.6MM,$9.8MM,12985,Business Services,Oakland,California,yes,no,yes,$52075.3MM,https://www.block.xyz,SQ,$34069.9MM,21915.6,9.8,52075.3,34069.9,1,0,1
Exelon,187,$21727MM,$2328MM,19962,Energy,Chicago,Illinois,no,no,yes,$37560MM,https://www.exeloncorp.com,EXC,$101546MM,21727.0,2328.0,37560.0,101546.0,0,0,0
KKR,188,$21685.3MM,$3732.3MM,4490,Financials,New York,New York,no,no,yes,$89013.9MM,https://www.kkr.com,KKR,$317294.2MM,21685.3,3732.3,89013.9,317294.2,0,0,0
CDW,189,$21376MM,$1104.3MM,15100,Technology,Vernon Hills,Illinois,no,yes,yes,$34329.5MM,https://www.cdw.com,CDW,$13284.6MM,21376.0,1104.3,34329.5,13284.6,0,0,0
Booking Holdings,190,$21365MM,$4289MM,23482,Technology,Norwalk,Connecticut,no,no,yes,$123968.4MM,https://www.bookingholdings.com,BKNG,$24342MM,21365.0,4289.0,123968.4,24342.0,1,0,1
Synchrony,191,$20999MM,$2238MM,20000,Financials,Stamford,Connecticut,no,no,yes,$17543.1MM,https://www.synchrony.com,SYF,$117479MM,20999.0,2238.0,17543.1,117479.0,0,0,0
Quanta Services,192,$20882.2MM,$744.7MM,52500,Engineering & Construction,Houston,Texas,no,no,yes,$37865.6MM,https://www.quantaservices.com,PWR,$16237.2MM,20882.2,744.7,37865.6,16237.2,0,0,0
Jones Lang LaSalle,193,$20760.8MM,$225.4MM,106100,Financials,Chicago,Illinois,no,no,yes,$9255.6MM,https://www.jll.com,JLL,$16064.8MM,20760.8,225.4,9255.6,16064.8,0,0,0
Discover Financial Services,194,$20606MM,$2940MM,21100,Financials,Riverwoods,Illinois,no,no,yes,$32846.5MM,https://www.discover.com,DFS,$151522MM,20606.0,2940.0,32846.5,151522.0,0,0,0
Tenet Healthcare,195,$20548MM,$611MM,95905,Health Care,Dallas,Texas,no,no,yes,$10510.5MM,https://www.tenethealth.com,THC,$28312MM,20548.0,611.0,10510.5,28312.0,0,0,0
Altria Group,196,$20502MM,$8130MM,6400,"Food, Beverages & Tobacco",Richmond,Virginia,no,no,yes,$76922.2MM,https://www.altria.com,MO,$38570MM,20502.0,8130.0,76922.2,38570.0,0,0,0
Stryker,197,$20498MM,$3165MM,52000,Health Care,Portage,Michigan,no,no,yes,$136158.7MM,https://www.stryker.com,SYK,$39912MM,20498.0,3165.0,136158.7,39912.0,0,0,0
Kimberly-Clark,198,$20431MM,$1764MM,41000,Household Products,Irving,Texas,no,no,yes,$43579.9MM,https://www.kimberly-clark.com,KMB,$17344MM,20431.0,1764.0,43579.9,17344.0,0,0,0
Waste Management,199,$20426MM,$2304MM,48000,Business Services,Houston,Texas,no,no,yes,$85600.6MM,https://www.wm.com,WM,$32823MM,20426.0,2304.0,85600.6,32823.0,0,0,0
Cheniere Energy,200,$20394MM,$9881MM,1605,Energy,Houston,Texas,no,no,yes,$37851.2MM,https://www.cheniere.com,LNG,$43076MM,20394.0,9881.0,37851.2,43076.0,0,0,0
Ross Stores,201,$20376.9MM,$1874.5MM,108000,Retailing,Dublin,California,no,yes,yes,$49409.1MM,https://www.rossstores.com,ROST,$14300.1MM,20376.9,1874.5,49409.1,14300.1,0,0,0
WestRock,202,$20310MM,$-1649MM,56100,Materials,Atlanta,Georgia,no,no,no,$12707MM,https://www.westrock.com,,$27443.7MM,20310.0,-1649.0,12707.0,27443.7,0,0,0
General Mills,203,$20094.2MM,$2593.9MM,34000,"Food, Beverages & Tobacco",Minneapolis,Minnesota,no,no,yes,$39501.5MM,https://www.generalmills.com,GIS,$31451.7MM,20094.2,2593.9,39501.5,31451.7,0,0,0
Goodyear Tire & Rubber,204,$20066MM,$-689MM,71000,Motor Vehicles & Parts,Akron,Ohio,no,no,no,$3901.3MM,https://www.goodyear.com,GT,$21582MM,20066.0,-689.0,3901.3,21582.0,0,0,0
BJ's Wholesale Club,205,$19968.7MM,$523.7MM,34000,Retailing,Marlborough,Massachusetts,no,no,yes,$10058.5MM,https://www.bjs.com,BJ,$6677.6MM,19968.7,523.7,10058.5,6677.6,0,0,0
GE HealthCare Technologies,206,$19552MM,$1568MM,51000,Health Care,Chicago,Illinois,no,no,yes,$41396.5MM,https://www.gehealthcare.com,GEHC,$32454MM,19552.0,1568.0,41396.5,32454.0,0,0,0
